Date,Home Team,Away Team,Venue,City
2023-08-11T19:00:00+00:00,Burnley,Manchester City,Turf Moor,Burnley
2023-08-12T11:30:00+00:00,Arsenal,Nottingham Forest,Emirates Stadium,London
2023-08-12T14:00:00+00:00,Bournemouth,West Ham,Vitality Stadium,"Bournemouth, Dorset"
2023-08-12T14:00:00+00:00,Everton,Fulham,Goodison Park,Liverpool
2023-08-12T14:00:00+00:00,Brighton,Luton,The American Express Community Stadium,"Falmer, East Sussex"
2023-08-12T14:00:00+00:00,Sheffield Utd,Crystal Palace,Bramall Lane,Sheffield
2023-08-12T16:30:00+00:00,Newcastle,Aston Villa,St. James' Park,Newcastle upon Tyne
2023-08-13T13:00:00+00:00,Brentford,Tottenham,Gtech Community Stadium,"Brentford, Middlesex"
2023-08-13T15:30:00+00:00,Chelsea,Liverpool,Stamford Bridge,London
2023-08-14T19:00:00+00:00,Manchester United,Wolves,Old Trafford,Manchester
2023-08-18T18:45:00+00:00,Nottingham Forest,Sheffield Utd,The City Ground,"Nottingham, Nottinghamshire"
2023-08-19T14:00:00+00:00,Fulham,Brentford,Craven Cottage,London
2023-08-19T14:00:00+00:00,Wolves,Brighton,Molineux Stadium,"Wolverhampton, West Midlands"
2023-08-19T14:00:00+00:00,Liverpool,Bournemouth,Anfield,Liverpool
2023-08-19T16:30:00+00:00,Tottenham,Manchester United,Tottenham Hotspur Stadium,London
2023-08-19T19:00:00+00:00,Manchester City,Newcastle,Etihad Stadium,Manchester
2023-08-20T13:00:00+00:00,Aston Villa,Everton,Villa Park,Birmingham
2023-08-20T15:30:00+00:00,West Ham,Chelsea,London Stadium,London
2023-08-21T19:00:00+00:00,Crystal Palace,Arsenal,Selhurst Park,London
2023-08-25T19:00:00+00:00,Chelsea,Luton,Stamford Bridge,London
2023-08-26T11:30:00+00:00,Bournemouth,Tottenham,Vitality Stadium,"Bournemouth, Dorset"
2023-08-26T14:00:00+00:00,Manchester United,Nottingham Forest,Old Trafford,Manchester
2023-08-26T14:00:00+00:00,Arsenal,Fulham,Emirates Stadium,London
2023-08-26T14:00:00+00:00,Everton,Wolves,Goodison Park,Liverpool
2023-08-26T14:00:00+00:00,Brentford,Crystal Palace,Gtech Community Stadium,"Brentford, Middlesex"
2023-08-26T16:30:00+00:00,Brighton,West Ham,The American Express Community Stadium,"Falmer, East Sussex"
2023-08-27T13:00:00+00:00,Burnley,Aston Villa,Turf Moor,Burnley
2023-08-27T13:00:00+00:00,Sheffield Utd,Manchester City,Bramall Lane,Sheffield
2023-08-27T15:30:00+00:00,Newcastle,Liverpool,St. James' Park,Newcastle upon Tyne
